timestamp,symbol,signal,entry_price,exit_price,pnl_percent,result,regime,probability,entry_time,exit_time,horizon_bars
2024-03-06T04:00:00+00:00,BONKUSDT,SELL,2.987e-05,3.651e-05,-22.4297,LOSS,BULL_TREND,0.3956,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,BNTUSDT,BUY,0.852,0.9191,7.6756,WIN,BULL_TREND,0.6518,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,GASUSDT,BUY,6.641,6.947,4.4077,WIN,BULL_TREND,0.6096,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,REQUSDT,BUY,0.1142,0.1205,5.3166,WIN,BULL_TREND,0.6679,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,PAXGUSDT,BUY,2092.0,2096.0,-0.0088,LOSS,BULL_TREND,0.6093,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,ADXUSDT,BUY,0.2226,0.2292,2.765,WIN,BULL_TREND,0.6065,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,OXTUSDT,BUY,0.1345,0.1432,6.2684,WIN,BULL_TREND,0.6039,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,RAREUSDT,BUY,0.1344,0.139,3.2226,WIN,BULL_TREND,0.623,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,PROMUSDT,BUY,9.993,10.526,5.1337,WIN,BULL_TREND,0.6007,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,POWRUSDT,BUY,0.3415,0.3608,5.4515,WIN,BULL_TREND,0.6827,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,PORTOUSDT,BUY,2.836,2.956,4.0313,WIN,BULL_TREND,0.6013,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,ARUSDT,SELL,30.072,31.167,-3.8413,LOSS,BULL_TREND,0.3875,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,MBLUSDT,BUY,0.005268,0.005562,5.3809,WIN,BULL_TREND,0.6172,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,AVAXUSDT,BUY,38.8,41.18,5.934,WIN,BULL_TREND,0.6329,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,LSKUSDT,SELL,2.166,2.52,-16.5435,LOSS,BULL_TREND,0.3786,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,AGLDUSDT,BUY,1.472,1.557,5.5745,WIN,BULL_TREND,0.6778,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T04:00:00+00:00,COMPUSDT,SELL,81.14,88.73,-9.5542,LOSS,BULL_TREND,0.3681,2024-03-06T04:05:00+00:00,2024-03-06T08:05:00+00:00,48
2024-03-06T08:00:00+00:00,ZILUSDT,SELL,0.03321,0.0385,-16.1289,LOSS,BULL_TREND,0.3541,2024-03-06T08:05:00+00:00,2024-03-06T12:05:00+00:00,48
2024-03-06T08:00:00+00:00,LPTUSDT,SELL,13.645,14.094,-3.4906,LOSS,BULL_TREND,0.243,2024-03-06T08:05:00+00:00,2024-03-06T12:05:00+00:00,48
2024-03-06T08:00:00+00:00,ANKRUSDT,SELL,0.03986,0.0409,-2.8091,LOSS,BULL_TREND,0.3918,2024-03-06T08:05:00+00:00,2024-03-06T12:05:00+00:00,48
2024-03-06T08:00:00+00:00,IOSTUSDT,BUY,0.01156,0.01164,0.492,WIN,BULL_TREND,0.6078,2024-03-06T08:05:00+00:00,2024-03-06T12:05:00+00:00,48
2024-03-06T08:00:00+00:00,MASKUSDT,SELL,4.59,4.602,-0.4614,LOSS,BULL_TREND,0.3994,2024-03-06T08:05:00+00:00,2024-03-06T12:05:00+00:00,48
2024-03-06T08:00:00+00:00,VANRYUSDT,SELL,0.13482,0.15761,-17.104,LOSS,BULL_TREND,0.3981,2024-03-06T08:05:00+00:00,2024-03-06T12:05:00+00:00,48
